con1,con2,con3,con4,con5,lib1,lib2,lib3,lib4,lib5,tweet_id
1,1,1,1,1,1,1,1,1,1,x1044609695779106820
1,1,2,1,2,1,2,2,2,2,x1044437171510431744
2,1,1,2,1,2,2,1,2,1,x1044189691610877952
1,1,1,2,1,1,2,1,2,1,x1044350544989417472
2,1,1,2,2,2,2,2,2,1,x1044297908630171648
1,1,1,1,1,1,1,1,1,1,x1044018168081965056
2,2,2,2,2,2,2,2,2,1,x1044383803496554496
2,2,2,1,2,1,2,2,2,2,x1044555016944713728
1,1,2,1,1,1,2,1,1,1,x1044312681560313857
1,2,1,1,1,2,1,1,2,1,x1044345977539153920
2,2,2,2,1,2,2,2,2,1,x1044304101838901249
1,1,1,1,1,1,2,1,1,1,x1044612965654134784
1,2,1,1,1,1,2,1,1,1,x1044197897124937729
1,1,1,1,1,1,2,1,1,1,x1044339831759929344
1,1,1,1,1,1,2,1,2,2,x1044337177507901441
1,2,1,1,1,1,2,1,2,2,x1044306135824707594
1,1,1,1,1,1,2,1,1,1,x1044306265940340738
1,1,1,1,1,1,2,1,1,1,x1044067264843186176
1,1,1,1,1,1,1,1,1,1,x1044595483774087168
1,1,1,1,1,1,2,1,2,1,x1044309195800137728
1,1,1,1,1,1,2,1,2,1,x1044347470669475840
1,2,1,2,1,2,2,2,2,2,x1044278174866124800
2,2,2,2,2,2,2,2,2,2,x1044251160142647296
1,1,1,1,1,1,2,1,1,1,x1044330732355833857
1,2,1,1,1,2,2,1,2,2,x1044363534061195265
1,1,2,1,1,1,1,1,1,1,x1044546991857037312
1,2,2,1,1,1,2,2,2,1,x1044291389801091072
1,1,2,1,1,1,2,1,2,1,x1044412195977789440
1,2,1,1,1,2,2,1,2,1,x1044318504109920256
1,2,1,2,1,1,2,1,2,1,x1044597772756889601
1,2,1,1,1,1,2,1,1,2,x1044617506697043971
1,2,1,1,1,3,2,1,1,1,x1044299994923192321
1,2,2,1,1,2,2,2,2,1,x1044641037669597184
1,1,1,1,1,1,1,1,1,1,x1044380730321752065
2,2,1,1,1,1,2,1,2,1,x1044376041437974529
1,1,1,1,1,1,1,1,2,1,x1044607821046702080
1,1,1,1,1,1,1,1,1,2,x1044619740935868416
1,1,1,1,2,2,2,2,1,1,x1044287548254760966
2,1,2,1,1,1,2,2,1,1,x1044296704709857280
2,1,1,2,2,2,2,2,2,1,x1044352752384700416
1,1,1,1,1,1,2,2,2,1,x1044314408363659266
2,1,1,1,2,2,2,2,2,1,x1044381175513587713
1,1,1,1,2,2,2,1,2,2,x1044145102086647808
1,1,1,2,1,1,2,2,2,1,x1044386330212532224
1,2,2,2,1,2,2,2,2,1,x1044280754992222209
1,1,1,1,1,1,1,1,1,1,x1044297656800022529
1,1,1,1,1,1,2,1,3,2,x1044295724391903233
1,1,1,1,1,1,1,1,1,1,x1044535710743617536
1,1,1,1,1,1,2,1,1,1,x1044382489169612801
1,2,1,2,2,2,2,2,2,1,x1044410931415941120
1,2,1,1,1,1,2,1,2,2,x1044322545649045504
1,1,1,1,1,1,2,1,1,1,x1044411267069415424
1,2,2,2,1,2,2,2,2,1,x1044650390204100610
2,2,2,2,1,2,2,2,2,1,x1044391266925125632
1,2,2,2,1,1,2,2,2,2,x1044312560609218563
2,2,1,2,2,2,2,2,2,1,x1044649218571464704
1,2,2,2,1,2,2,2,2,1,x1044551883245977600
2,2,1,1,1,3,2,1,2,1,x1044672951574876160
1,2,1,1,1,1,2,1,1,1,x1044282263150764032
2,2,2,2,2,2,2,2,2,2,x1044325173376290817
1,1,1,1,1,1,2,1,1,2,x1044351505208410112
1,2,1,1,1,1,2,1,1,1,x1044399701376880641
1,1,1,1,1,1,1,1,1,1,x1044543799547039744
1,1,1,1,1,1,2,1,1,1,x1044418575853867008
1,1,1,1,1,1,1,1,1,1,x1044018985682063366
1,1,1,1,1,1,1,1,1,2,x1044163021000626176
1,1,1,1,1,1,2,1,2,2,x1044403061274357760
2,2,1,1,2,2,2,2,2,2,x1044372653962919936
2,2,2,1,1,2,2,2,2,1,x1044291439453241344
1,2,2,1,1,2,2,2,2,1,x1044280013330296833
1,2,1,1,1,1,1,2,2,1,x1044556254058860544
1,2,1,1,1,2,2,2,1,1,x1044233147947339776
1,2,1,2,1,1,2,2,2,2,x1044296351289348098
2,2,1,2,2,2,2,2,2,1,x1044337927822757889
