text,con1,con2,con3,con4,con5,lib1,lib2,lib3,lib4,lib5
@SenBlumenthal #kavanaugh #fairness. #swamp.  Senator Blumenthal.  How can you be so sanctimonious when you lied about being a veteran?  I look forward to you being voted out,1,1,1,1,1,1,1,1,1,1
@KatiePavlich @SenBlumenthal He lied about his military service.  That’s an accomplishment for the left right?,1,1,0,1,0,1,0,0,0,0
@SenBlumenthal Why do u believe Dr Ford &amp; not Kavanaugh?  She has no believable witnesses.  She does not remember where or when?  It sounds very political to us.,0,1,1,0,1,0,0,1,0,1
"@KatiePavlich @SenBlumenthal Well for starters, he stole valor of those who served in Vietnam, so I feel he’s veeeery credible hahaha",1,1,1,0,1,1,0,1,0,1
"If you push Brett Kavanaugh through without an FBI investigation and fair hearing, we will vote you all out now and in 2020! @lisamurkowski @senblumenthal #TW #StopKavanaugh  #MeToo #CancelKavanaugh https://t.co/PFPqhEFqVr",1,1,1,1,1,1,1,1,1,1
@SenBlumenthal thinks the Constitution is a suggestion. https://t.co/xc0WqeEeTa,0,0,0,1,0,1,0,0,0,0
@KatiePavlich @SenBlumenthal Hmm lied about serving in Vietnam? Sen. Hirono says because of his policies Kavanaugh is NOT innocent until proven guilty. What if we use the same guide for politicians that are accused? It's no longer equal protection under the law. Its laws for the ruling class,1,0,1,1,1,0,1,1,0,1
@guypbenson @KatiePavlich @SenBlumenthal He sued his state's largest employers so often that they moved thousands of jobs out-of-state,0,0,0,0,1,0,0,0,0,1
@ProudDemocrat1 @TupayD @SenBlumenthal Total BS. You know it and I know. Don't be a dope your whole  life.,1,1,1,1,1,1,0,1,1,1
@SenBlumenthal Too bad her best friend and college roommate came out and said she never mentioned it to them. Funny how all of these registered Democrats are coming out now making all of these allegations and everyone they say can back it up don’t. Horrible game being played by the Dems,1,0,1,1,1,1,0,1,1,1
"@KatiePavlich @SenBlumenthal Well, he served in Vietnam, right? Oh, no, he lied about that.",1,0,1,1,1,1,0,1,0,0
@SenBlumenthal Regale them with stories about your service in Vietnam. I’m sure they’ll sit with rapt attention....oh wait. You’re a liar. I forgot.,1,1,1,1,1,1,0,1,1,1
@SenBlumenthal Don’t recommend...DEMAND that they listen to women who are sexually assaulted! So NO to #PERVanaugh,1,1,1,1,1,1,0,1,1,1
@KatiePavlich @SenBlumenthal And lied about his military service,1,0,1,0,1,0,0,0,0,0
@SenBlumenthal Thank you Senator!,0,0,0,0,0,0,0,0,0,0
"@SusanLane24 @SenBlumenthal The bulling part is forbidding an investigation &amp; saying that no matter what she tells them, misogynists will still vote for the alleged cad.",1,0,1,1,1,0,0,1,0,0
"@tomselliott @NoahCRothman @SenBlumenthal Upon taking office, senators-elect must swear or affirm that they will ""support and defend the Constitution."" The oath is required by the Constitution; the wording is prescribed by law-If you &amp; Dems refuse to follow your OoO get out! Stop making a mockery of the US Constitution!",1,1,0,1,1,1,1,1,1,1
@SenBlumenthal Tell me how she is being bullied.  You are a real piece of work considering your own background.,1,0,1,1,1,1,0,1,1,0
@SenBlumenthal stealing the valor of our Vietnam vets &amp; claiming to have served in Vietnam WHEN HE DID NOT.  Yet he continues to push false claims against Kavenaugh &amp; demands he be investigated.  DEMAND HE RESIGN NOW! Even Left leaning SNOPES says he lied. https://t.co/Yu1lFtlrrG,1,1,1,1,1,1,1,1,1,0
"@SenBlumenthal You are bullying Kavanaugh.
You are attempting anarchy",1,1,1,1,0,0,0,0,1,1
